273,13600,35785,27746,50001,4186,41622,52485,0,0
274,13650,35801,27672,50299,4288,41183,52822,0,0
275,13700,35818,27598,50594,4397,40742,53154,0,0
276,13750,35836,27523,50883,4513,40299,53481,0,0
277,13800,35855,27449,51168,4636,39854,53803,0,0
278,13850,35875,27374,51448,4766,39408,54120,0,0
279,13900,35897,27298,51724,4903,38959,54432,0,0
280,13950,35919,27223,51995,5046,38510,54738,0,0
281,14000,35942,27147,52261,5197,38058,55038,0,0
282,14050,35967,27071,52522,5354,37606,55334,0,0
283,14100,35992,26995,52778,5518,37152,55623,0,0
284,14150,36019,26918,53029,5689,36697,55907,0,0
285,14200,36046,26842,53275,5866,36242,56186,0,0
286,14250,36075,26765,53516,6051,35785,56458,0,0
287,14300,36104,26688,53751,6241,35328,56725,0,0
288,14350,36135,26612,53981,6438,34870,56986,0,0
289,14400,36166,26535,54206,6642,34411,57240,0,0
290,14450,36199,26458,54426,6852,33952,57489,0,0
291,14500,36232,26381,54640,7069,33493,57732,0,0
292,14550,36267,26304,54848,7292,33033,57968,0,0
293,14600,36302,26227,55051,7521,32574,58199,0,0
294,14650,36338,26149,55249,7757,32115,58423,0,0
295,14700,36376,26072,55440,7998,31655,58640,0,0
296,14750,36414,25995,55626,8246,31196,58852,0,0
297,14800,36453,25919,55807,8500,30738,59056,0,0
298,14850,36493,25842,55981,8759,30280,59255,0,0
299,14900,36534,25765,56150,9025,29822,59447,0,0
300,14950,36576,25688,56312,9297,29365,59632,0,0
301,15000,36618,25612,56469,9574,28909,59811,0,0
302,15050,36662,25536,56620,9857,28454,59983,0,0
303,15100,36706,25460,56765,10146,28000,60148,0,0
304,15150,36752,25384,56904,10440,27548,60306,0,0
305,15200,36798,25308,57037,10740,27096,60458,0,0
306,15250,36845,25233,57163,11045,26646,60603,0,0
307,15300,36893,25158,57284,11356,26198,60741,0,0
308,15350,36941,25083,57398,11671,25751,60872,0,0
309,15400,36990,25008,57506,11992,25305,60996,0,0
310,15450,37041,24934,57608,12319,24862,61113,0,0
311,15500,37091,24860,57704,12650,24421,61224,0,0
312,15550,37143,24787,57794,12986,23981,61327,0,0
313,15600,37195,24713,57877,13327,23544,61423,0,0
314,15650,37249,24641,57954,13673,23109,61512,0,0
315,15700,37302,24568,58024,14024,22677,61594,0,0
316,15750,37357,24496,58089,14379,22247,61669,0,0
317,15800,37412,24425,58146,14738,21819,61737,0,0
318,15850,37468,24354,58198,15103,21394,61797,0,0
319,15900,37525,24283,58243,15471,20972,61851,0,0
320,15950,37582,24213,58282,15844,20553,61897,0,0
321,16000,37640,24143,58314,16221,20137,61936,0,0
322,16050,37698,24074,58340,16602,19724,61968,0,0
323,16100,37757,24006,58359,16987,19315,61993,0,0
324,16150,37817,23938,58372,17376,18908,62010,0,0
325,16200,37877,23871,58379,17769,18505,62020,0,0
326,16250,37938,23804,58379,18165,18106,62024,0,0
327,16300,37999,23738,58373,18565,17710,62019,0,0
328,16350,38061,23672,58360,18969,17318,62008,0,0
329,16400,38123,23607,58341,19376,16930,61989,0,0
